ProductID=Product Category=Product Sub-Category=Product Name=Unit Price=Unit Cost
TEC-PH/AB10015140#5816=Technology=Phones=Samsung Convoy 3=110.99=79.91
"FUR-CH/JR162107#5379=Furniture=Chairs=Novimex Executive Leather Armchair, Black=412.16=444.24"
"TEC-PH/CR127307#5356=Technology=Phones=Nokia Smart Phone, with Caller ID=575.02=472.8"
"TEC-PH/KM1637548#5267=Technology=Phones=Motorola Smart Phone, Cordless=578.5=597.81"
"TEC-CO/RH9495111#6011=Technology=Copiers=Sharp Wireless Fax, High-Speed=354.12=315.18"
"TEC-PH/JM156557#5842=Technology=Phones=Samsung Smart Phone, with Caller ID=572.54=419.88"
"FUR-CH/TS2134092#5378=Furniture=Chairs=Novimex Executive Leather Armchair, Adjustable=455.52=314.31"
"FUR-TA/MB1808592#3764=Furniture=Tables=Chromcraft Conference Table, Fully Assembled=874.14=708.06"
"FUR-BO/AJ107801#5957=Furniture=Bookcases=Sauder Facets Collection Library, Sky Alder Finish=170.98=143.62"
"FUR-CH/MM7260110#4421=Furniture=Chairs=Global Push Button Manager's Chair, Indigo=48.71=43.23"
OFF-AR/VF2171518#5309=Office Supplies=Art=Newell 330=5.98=4.43
"FUR-TA/PF1912027#3420=Furniture=Tables=Bevis Conference Table, Fully Assembled=925.23=795.72"
"TEC-PH/BP1118545#3807=Technology=Phones=Cisco Smart Phone, with Caller ID=654.24=366.39"
"FUR-CH/PJ1883564#4530=Furniture=Chairs=Harbour Creations Executive Leather Armchair, Adjustable=317.4=228.54"
"OFF-AP/JS156857#4959=Office Supplies=Appliances=KitchenAid Microwave, White=308.46=222.12"
"OFF-AP/RH9555129#3575=Office Supplies=Appliances=Breville Refrigerator, Red=467.4=420.66"
OFF-ST/AB600103#3078=Office Supplies=Storage=Akro Stacking Bins=6.31=7.57
"OFF-AP/JK1532527#4743=Office Supplies=Appliances=Hoover Stove, Red=568.47=284.25"
"TEC-CO/LB16795139#3597=Technology=Copiers=Brother Fax Machine, High-Speed=285.07=281.91"
"OFF-AP/NP1832582#4967=Office Supplies=Appliances=KitchenAid Stove, White=568.29=431.91"
"FUR-TA/VD2167039#4644=Furniture=Tables=Hon Computer Table, with Bottom Storage=494.43=425.22"
"OFF-ST/PB19210127#3744=Office Supplies=Storage=Carina 42""""Hx23 3/4""""W Media Storage Unit=80.98=79.36"
"FUR-CH/EB1411048#5774=Furniture=Chairs=SAFCO Executive Leather Armchair, Black=459=399.33"
"OFF-AP/AH10030140#4960=Office Supplies=Appliances=KitchenAid Refrigerator, Black=527.37=337.53"
"TEC-PH/BP1123058#5268=Technology=Phones=Motorola Smart Phone, Full Size=428.46=317.08"
"FUR-TA/RR1952536#4643=Furniture=Tables=Hon Computer Table, Fully Assembled=263.31=197.5"
"FUR-TA/BS1136545#5060=Furniture=Tables=Lesro Conference Table, with Bottom Storage=857.58=497.4"
OFF-FA/DP131057#6129=Office Supplies=Fasteners=Staples=30.98=15.8
"FUR-CH/AH1003033#5443=Furniture=Chairs=Office Star Executive Leather Armchair, Red=469.68=324.09"
"TEC-PH/PO18865139#5841=Technology=Phones=Samsung Smart Phone, VoIP=339.33=369.02"
"TEC-MA/DL128657#5503=Technology=Machines=Okidata Inkjet, Wireless=266.99=182.19"
TEC-PH/JB1600059#4389=Technology=Phones=Geemarc AmpliPOWER60=74.24=65.89
"OFF-AP/BF1100558#3579=Office Supplies=Appliances=Breville Stove, Red=505.39=393.09"
OFF-ST/VG2180558#4291=Office Supplies=Storage=Fellowes Super Stor/Drawer Files=161.55=130.86
"TEC-PH/GT14710139#3148=Technology=Phones=Apple Smart Phone, Full Size=636.21=458.1"
"FUR-CH/ZC2191048#4840=Furniture=Chairs=Iceberg Nesting Folding Chair, 19w x 6d x 43h=46.58=43.08"
"TEC-AC/EB1384045#6340=Technology=Accessories=Verbatim 25 GB 6x Blu-ray Single Layer Recordable Disc, 10/Pack=11.59=7.77"
"TEC-CO/AP1091527#3598=Technology=Copiers=Brother Fax Machine, Laser=318.54=187.95"
"TEC-PH/SW2027558#5269=Technology=Phones=Motorola Smart Phone, with Caller ID=645.54=555.18"
"FUR-BO/JH15820141#5951=Furniture=Bookcases=Sauder Classic Bookcase, Traditional=435.99=274.68"
"OFF-AP/TG1164060#3874=Office Supplies=Appliances=Cuisinart Stove, Silver=431.23=377.34"
"FUR-FU/DG330087#4072=Furniture=Furnishings=Eldon Image Series Desk Accessories, Ebony=12.35=6.92"
"FUR-CH/SG2047058#5441=Furniture=Chairs=Office Star Executive Leather Armchair, Adjustable=418.5=274.35"
"FUR-CH/GP1474058#5380=Furniture=Chairs=Novimex Executive Leather Armchair, Red=460.2=441.81"
"TEC-MA/MW182207#5007=Technology=Machines=Konica Inkjet, White=310.59=239.16"
"FUR-CH/CS1246011#4531=Furniture=Chairs=Harbour Creations Executive Leather Armchair, Black=315.74=236.82"
OFF-BI/MS1798048#4372=Office Supplies=Binders=GBC VeloBind Cover Sets=12.35=7.72
"TEC-CO/KC1667548#3678=Technology=Copiers=Canon Copy Machine, Color=263.58=197.7"
OFF-LA/DB1340527#3231=Office Supplies=Labels=Avery 51=6.3=3.4
"FUR-BO/AS10045140#5762=Furniture=Bookcases=Safco Classic Bookcase, Pine=439.5=408.75"
"TEC-CO/DK13090120#4590=Technology=Copiers=Hewlett Wireless Fax, Color=381.63=198.45"
"OFF-BI/CS1184558#2937=Office Supplies=Binders=ACCOHIDE 3-Ring Binder, Blue, 1""""=3.3=2.19"
"FUR-TA/EM1420082#3766=Furniture=Tables=Chromcraft Conference Table, with Bottom Storage=872.67=759.24"
"OFF-AP/DW3480137#3577=Office Supplies=Appliances=Breville Refrigerator, White=465.72=336.36"
OFF-PA/AS1022527#4014=Office Supplies=Paper=EcoTones Memo Sheets=4=2.08
"FUR-BO/ST2053093#5760=Furniture=Bookcases=Safco Classic Bookcase, Metal=437.61=354.48"
OFF-AR/BW106533#3276=Office Supplies=Art=Avery Fluorescent Highlighter Four-Color Set=2.67=2.34
"TEC-PH/LA1678059#5839=Technology=Phones=Samsung Smart Phone, Cordless=639=594.27"
"TEC-PH/AB10150139#3130=Technology=Phones=Apple Audio Dock, with Caller ID=166.89=141.87"
TEC-MA/JH158207#3788=Technology=Machines=Cisco CP-7937G Unified IP Conference Station Phone=347.85=361.76
"FUR-TA/BE1141048#3779=Furniture=Tables=Chromcraft Wood Table, Rectangular=480.09=316.86"
"FUR-TA/SZ2003527#3771=Furniture=Tables=Chromcraft Round Table, Rectangular=464.67=432.15"
"OFF-AP/RM1937558#4497=Office Supplies=Appliances=Hamilton Beach Microwave, Black=187.96=178.58"
"FUR-TA/HG1484545#3422=Furniture=Tables=Bevis Conference Table, with Bottom Storage=489.59=554.28"
